,full_name,status,geolocation,date,year,make,model_family,model_generation,model_variant,model_trim,engine,transmission,drive_type,originality,milleage,vin,vehicle_type,body_style,doors,driver_side,ext_color_group,int_color_group,for_sale,avg,sales_count,dollar_volume,lowest_sale,top_sale,most_recent
0,1971 Mercedes-Benz 280SE 3.5,For Sale,"Norfolk, Virginia, USA",1970-01-01 00:28:44.371200,1971,Mercedes-Benz,S-Class,W111,280 SE 3.5,,3.5L V8 (M116),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,96.561,11102612000295,Automobile,Coupe,2 Doors,Left Hand Drive,Black,Red/Burgundy,5,98047.0,60.0,5900000,25250.0,379000,240000.0
1,2023 BMW M3 Competition xDrive 50 Jahre Edition,For Sale,"Essex County, New Jersey, USA",1970-01-01 00:28:38.236800,2023,BMW,3 Series,G20,M3,50 Jahre,3.0L Twin-Turbo I6 (S58),Automatic,Four Wheel Drive (4WD/AWD),Original & Highly Original,273.0,WBS43AY00PFN65836,Automobile,Sedan,4 Doors,Left Hand Drive,Blue,Black,9,78818.0,31.0,2400000,59500.0,137076,70500.0
2,2011 Ford Mustang Roush 5XR,For Sale,"Frisco, Texas, USA",1970-01-01 00:28:44.457600,2011,Ford,Mustang,5th Gen / S-197 II,Roush,5XR,5.0L Supercharged V8 (Coyote),Manual,Rear Wheel Drive (RWD),Original & Highly Original,64.796,1ZVBP8CF8B5152565,Automobile,Coupe,2 Doors,Left Hand Drive,Gray,Black,2,31567.0,3.0,94700,26500.0,37400,26500.0
3,1986 Toyota 4Runner,For Sale,"Gainesville, Virginia, USA",1970-01-01 00:28:43.766400,1986,Toyota,4Runner,1st Gen (N60),,,2.4L I4 (22R-E)*,Manual,Four Wheel Drive (4WD/AWD),Modified,198.905,JT4RN62D6G0043568,Automobile,SUV,2 Doors,Left Hand Drive,Red,Brown,4,18610.0,130.0,2400000,5500.0,42000,7888.0
4,1984 BMW 733i,For Sale,"Garland, North Carolina, USA",1970-01-01 00:28:47.654400,1984,BMW,7 Series,E23,733i,,3.2L I6 (M30),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,163.929,WBAFF840XE9284528,Automobile,Sedan,4 Doors,Left Hand Drive,Black,Beige/Tan,1,9295.0,17.0,158020,550.0,34000,8128.0
5,1959 Chevrolet Impala 2 Door Hardtop,For Sale,"Fresno County, California, USA",1970-01-01 00:28:39.532800,1959,Chevrolet,Impala,2nd Gen,,,Swap,Automatic,Rear Wheel Drive (RWD),Custom,,CA964482,Automobile,Coupe,2 Doors,Left Hand Drive,Black,Red/Burgundy,17,90438.0,144.0,13000000,12100.0,368500,43000.0
6,1978 Mercedes 450SL,For Sale,"Penobscot County, Maine, USA",1970-01-01 00:28:39.446400,1978,Mercedes-Benz,SL-Class,R107 & C107,450 SL,,4.5L V8 (M117),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,133.0,10704412046357,Automobile,Convertible,2 Doors,Left Hand Drive,Red,Beige/Tan,59,16900.0,390.0,6600000,550.0,117600,15500.0
7,2000 Lotus Esprit,For Sale,"Town of Carmel, New York, USA",1970-01-01 00:28:39.273600,2000,Lotus,Esprit,Series 4,,,3.5L Twin-Turbo V8 (Type 918),Manual,Rear Wheel Drive (RWD),Original & Highly Original,54.03,SCCDC0825YHA10035,Automobile,Coupe,2 Doors,Left Hand Drive,Yellow,Black,5,62801.0,117.0,7300000,25024.0,220000,47750.0
8,2020 Jeep Gladiator Sport,For Sale,"Bergen County, New Jersey, USA",1970-01-01 00:28:46.099200,2020,Jeep,Gladiator,JT,Sport,,3.6 Liter V6*,Automatic,Four Wheel Drive (4WD/AWD),Custom,19.522,1C6HJTAGXLL160166,Automobile,Pickup,4 Doors,Left Hand Drive,Red,Black,18,83635.0,135.0,11300000,23250.0,330000,78000.0
9,2003 Ford Mustang SVT Cobra,For Sale,"Chapel Hill, North Carolina, USA",1970-01-01 00:28:48.086400,2003,Ford,Mustang,4th Gen / SN-99,SVT Cobra,,108.0,Manual,Rear Wheel Drive (RWD),Original & Highly Original,108.0,1FAFP49Y33F412006,Automobile,Convertible,2 Doors,Left Hand Drive,Red,Black,17,30583.0,156.0,4800000,7000.0,85000,29751.0
10,2019 Ferrari 812 Superfast,For Sale,"Fort Lauderdale, Florida, USA",1970-01-01 00:28:42.988800,2019,Ferrari,812,Superfast,,,6.5L V12 (F140),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,7.627,ZFF83CLA6K0241484,Automobile,Coupe,2 Doors,Left Hand Drive,Black,Black,5,339677.0,39.0,13200000,228488.0,690000,228488.0
11,2017 Jeep Wrangler Unlimited Sport,For Sale,"Miami-Dade County, Florida, USA",1970-01-01 00:28:46.790400,2017,Jeep,Wrangler,JK,Sport,,3.6L V6,Automatic,Four Wheel Drive (4WD/AWD),Original & Highly Original,35.787,1C4BJWDGXHL624270,Automobile,SUV,4 Doors,Left Hand Drive,Black,Black,42,32900.0,501.0,16500000,6500.0,250000,45750.0
12,1962 Mercedes-Benz Unimog,For Sale,"Lyman, South Carolina, USA",1970-01-01 00:28:43.248000,1962,Mercedes-Benz,Unimog,404,,,,Manual,Four Wheel Drive (4WD/AWD),Modified,6.548,404114054877,Automobile,Utility Truck,2 Doors,Left Hand Drive,Gray,Black,8,50903.0,81.0,4099999,4600.0,220000,20000.0
13,1972 Ford Bronco,For Sale,"Miami, Florida, USA",1970-01-01 00:28:38.150400,1972,Ford,Bronco,1st Gen,,,302ci V8*,Automatic,Four Wheel Drive (4WD/AWD),Modified,73.887,U15GLI47925,Automobile,SUV,2 Doors,Left Hand Drive,Red,White,123,81136.0,1401.0,113400000,8100.0,1900000,45000.0
14,1972 Mercedes-Benz 350SL,For Sale,"Los Angeles, California, USA",1970-01-01 00:28:42.384000,1972,Mercedes-Benz,SL-Class,R107 & C107,350 SL,,3.5L V8 (M116),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,61.451,10704312002005,Automobile,Convertible,2 Doors,Left Hand Drive,Blue,Blue,8,20125.0,98.0,2000000,3241.0,108900,19250.0
15,1979 Chevrolet Camaro RS,For Sale,"Azusa, California, USA",1970-01-01 00:28:47.827200,1979,Chevrolet,Camaro,2nd Gen,,RS,305ci V8 (LG3 130hp),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,89.0,1Q87G9L596783,Automobile,Coupe,2 Doors,Left Hand Drive,Beige,Brown,110,39672.0,759.0,30100000,4256.0,385000,38000.0
16,2013 Chevrolet Camaro ZL1,For Sale,"Sacramento County, California, USA",1970-01-01 00:28:38.150400,2013,Chevrolet,Camaro,5th Gen,ZL1,,6.2L Supercharged V8 (LSA 580hp),Manual,Rear Wheel Drive (RWD),Original & Highly Original,1.7469999999999999,2G1FZ1EP6D9805307,Automobile,Coupe,2 Doors,Left Hand Drive,Gray,Black,16,48617.0,56.0,2700000,26250.0,170000,29150.0
17,1992 Toyota Land Cruiser FZJ80,For Sale,"Miami, Florida, USA",1970-01-01 00:28:38.150400,1992,Toyota,Land Cruiser,80 Series,FZJ80,,Swap,Manual,Four Wheel Drive (4WD/AWD),Custom,,FZJ800010064,Automobile,SUV,4 Doors,Left Hand Drive,Beige,Gray,9,28261.0,391.0,11100000,5600.0,170000,14500.0
18,1987 Nissan Spartan II GS 2+2,For Sale,"Florida, USA",1970-01-01 00:28:43.680000,1987,Spartan Cars,All Models,,,,,Automatic,Rear Wheel Drive (RWD),Original & Highly Original,140.0,JN1HZ16S9HX125110,Automobile,T-Top,2 Doors,Left Hand Drive,White,Beige/Tan,16,,,162400,,26250,
19,1995 BMW 740iL,For Sale,"Minnesota, USA",1970-01-01 00:28:38.409600,1995,BMW,7 Series,E38,740iL,,4.0L V8 (M60),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,133.0,WBAGJ6322SDH32265,Automobile,Sedan,4 Doors,Left Hand Drive,Gold,Beige/Tan,4,11968.0,121.0,1400000,2300.0,29000,6300.0
20,1986 Toyota 4Runner,For Sale,"Gainesville, Virginia, USA",1970-01-01 00:28:43.766400,1986,Toyota,4Runner,1st Gen (N60),,,2.4L I4 (22R-E)*,Manual,Four Wheel Drive (4WD/AWD),Modified,198.905,JT4RN62D6G0043568,Automobile,SUV,2 Doors,Left Hand Drive,Red,Brown,4,18610.0,130.0,2400000,5500.0,42000,7888.0
21,1984 BMW 733i,For Sale,"Garland, North Carolina, USA",1970-01-01 00:28:47.654400,1984,BMW,7 Series,E23,733i,,3.2L I6 (M30),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,163.929,WBAFF840XE9284528,Automobile,Sedan,4 Doors,Left Hand Drive,Black,Beige/Tan,1,9295.0,17.0,158020,550.0,34000,8128.0
22,2017 Jeep Wrangler Unlimited Sport,For Sale,"Miami-Dade County, Florida, USA",1970-01-01 00:28:46.790400,2017,Jeep,Wrangler,JK,Sport,,3.6L V6,Automatic,Four Wheel Drive (4WD/AWD),Original & Highly Original,35.787,1C4BJWDGXHL624270,Automobile,SUV,4 Doors,Left Hand Drive,Black,Black,42,32900.0,501.0,16500000,6500.0,250000,45750.0
23,1972 Porsche 911 S,For Sale,"Clifton, Virginia, USA",1970-01-01 00:28:38.150400,1972,Porsche,911,F Body (LWB),S,,2.4 L H6 (S - MFI)*,Manual,Rear Wheel Drive (RWD),Modified,37.601,9112310907,Automobile,37.601,2 Doors,Left Hand Drive,White,Black,3,130414.0,24.0,3100000,13611.0,268000,179953.0
24,1992 Land Rover Defender 110,For Sale,"Leawood, Kansas, USA",1970-01-01 00:28:44.284800,1992,Land Rover,Defender,L316,110 Wagon,,2.5L Turbo Diesel I4 (200Tdi),Manual,Four Wheel Drive (4WD/AWD),Original & Highly Original,239.52,SALLDHMF8JA914557,Automobile,Wagon,4 Doors,Left Hand Drive,Green,Black,40,58386.0,370.0,21600000,9760.0,300000,30836.0
25,2020 Jeep Gladiator Sport,For Sale,"Bergen County, New Jersey, USA",1970-01-01 00:28:46.099200,2020,Jeep,Gladiator,JT,Sport,,3.6 Liter V6*,Automatic,Four Wheel Drive (4WD/AWD),Custom,19.522,1C6HJTAGXLL160166,Automobile,Pickup,4 Doors,Left Hand Drive,Red,Black,18,83635.0,135.0,11300000,23250.0,330000,78000.0
26,1987 Nissan Spartan II GS 2+2,For Sale,"Florida, USA",1970-01-01 00:28:43.680000,1987,Spartan Cars,All Models,,,,,Automatic,Rear Wheel Drive (RWD),Original & Highly Original,140.0,JN1HZ16S9HX125110,Automobile,T-Top,2 Doors,Left Hand Drive,White,Beige/Tan,16,,,162400,,26250,
27,2008 Ford Mustang Shelby GT/SC,For Sale,"Allegheny County, Pennsylvania, USA",1970-01-01 00:28:42.038400,2008,Ford,Shelby Mustang,2nd Gen / S-197 I,GT/SC,,4.6L Supercharged V8,Manual,Rear Wheel Drive (RWD),Original & Highly Original,9.035,1ZVHT85H585143965,Automobile,Convertible,2 Doors,Left Hand Drive,Blue,Black,3,38450.0,10.0,384500,25250.0,82500,37000.0
28,2019 Ferrari 812 Superfast,For Sale,"Fort Lauderdale, Florida, USA",1970-01-01 00:28:42.988800,2019,Ferrari,812,Superfast,,,6.5L V12 (F140),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,7.627,ZFF83CLA6K0241484,Automobile,Coupe,2 Doors,Left Hand Drive,Black,Black,5,339677.0,39.0,13200000,228488.0,690000,228488.0
29,2011 Ford Mustang Roush 5XR,For Sale,"Frisco, Texas, USA",1970-01-01 00:28:44.457600,2011,Ford,Mustang,5th Gen / S-197 II,Roush,5XR,5.0L Supercharged V8 (Coyote),Manual,Rear Wheel Drive (RWD),Original & Highly Original,64.796,1ZVBP8CF8B5152565,Automobile,Coupe,2 Doors,Left Hand Drive,Gray,Black,2,31567.0,3.0,94700,26500.0,37400,26500.0
30,1979 Chevrolet Camaro RS,For Sale,"Azusa, California, USA",1970-01-01 00:28:47.827200,1979,Chevrolet,Camaro,2nd Gen,,RS,305ci V8 (LG3 130hp),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,89.0,1Q87G9L596783,Automobile,Coupe,2 Doors,Left Hand Drive,Beige,Brown,110,39672.0,759.0,30100000,4256.0,385000,38000.0
31,1960 Ford F-100,For Sale,"Miami, Florida, USA",1970-01-01 00:28:42.384000,1960,Ford,F-Series,3rd Gen,F100,,Swap,Manual,Rear Wheel Drive (RWD),Modified,49.109,F10J0E43068,Automobile,Pickup,2 Doors,Left Hand Drive,Teal/Turquoise,White,9,22213.0,55.0,1200000,5500.0,55000,12600.0
32,1992 Land Rover Defender 110,For Sale,"Leawood, Kansas, USA",1970-01-01 00:28:44.284800,1992,Land Rover,Defender,L316,110 Wagon,,2.5L Turbo Diesel I4 (200Tdi),Manual,Four Wheel Drive (4WD/AWD),Original & Highly Original,239.52,SALLDHMF8JA914557,Automobile,Wagon,4 Doors,Left Hand Drive,Green,Black,40,58386.0,370.0,21600000,9760.0,300000,30836.0
33,2003 Ford Mustang SVT Cobra,For Sale,"Chapel Hill, North Carolina, USA",1970-01-01 00:28:48.086400,2003,Ford,Mustang,4th Gen / SN-99,SVT Cobra,,108.0,Manual,Rear Wheel Drive (RWD),Original & Highly Original,108.0,1FAFP49Y33F412006,Automobile,Convertible,2 Doors,Left Hand Drive,Red,Black,17,30583.0,156.0,4800000,7000.0,85000,29751.0
34,1962 Mercedes-Benz Unimog,For Sale,"Lyman, South Carolina, USA",1970-01-01 00:28:43.248000,1962,Mercedes-Benz,Unimog,404,,,,Manual,Four Wheel Drive (4WD/AWD),Modified,6.548,404114054877,Automobile,Utility Truck,2 Doors,Left Hand Drive,Gray,Black,8,50903.0,81.0,4099999,4600.0,220000,20000.0
35,1959 Chevrolet Impala 2 Door Hardtop,For Sale,"Fresno County, California, USA",1970-01-01 00:28:39.532800,1959,Chevrolet,Impala,2nd Gen,,,Swap,Automatic,Rear Wheel Drive (RWD),Custom,,CA964482,Automobile,Coupe,2 Doors,Left Hand Drive,Black,Red/Burgundy,17,90438.0,144.0,13000000,12100.0,368500,43000.0
36,1971 Mercedes-Benz 280SE 3.5,For Sale,"Norfolk, Virginia, USA",1970-01-01 00:28:44.371200,1971,Mercedes-Benz,S-Class,W111,280 SE 3.5,,3.5L V8 (M116),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,96.561,11102612000295,Automobile,Coupe,2 Doors,Left Hand Drive,Black,Red/Burgundy,5,98047.0,60.0,5900000,25250.0,379000,240000.0
37,1972 Mercedes-Benz 350SL,For Sale,"Los Angeles, California, USA",1970-01-01 00:28:42.384000,1972,Mercedes-Benz,SL-Class,R107 & C107,350 SL,,3.5L V8 (M116),Automatic,Rear Wheel Drive (RWD),Original & Highly Original,61.451,10704312002005,Automobile,Convertible,2 Doors,Left Hand Drive,Blue,Blue,8,20125.0,98.0,2000000,3241.0,108900,19250.0
38,2000 Lotus Esprit,For Sale,"Town of Carmel, New York, USA",1970-01-01 00:28:39.273600,2000,Lotus,Esprit,Series 4,,,3.5L Twin-Turbo V8 (Type 918),Manual,Rear Wheel Drive (RWD),Original & Highly Original,54.03,SCCDC0825YHA10035,Automobile,Coupe,2 Doors,Left Hand Drive,Yellow,Black,5,62801.0,117.0,7300000,25024.0,220000,47750.0
39,2023 BMW M3 Competition xDrive 50 Jahre Edition,For Sale,"Essex County, New Jersey, USA",1970-01-01 00:28:38.236800,2023,BMW,3 Series,G20,M3,50 Jahre,3.0L Twin-Turbo I6 (S58),Automatic,Four Wheel Drive (4WD/AWD),Original & Highly Original,273.0,WBS43AY00PFN65836,Automobile,Sedan,4 Doors,Left Hand Drive,Blue,Black,9,78818.0,31.0,2400000,59500.0,137076,70500.0
